#{"t_start": 1770576848.9145932, "env_id": "None"}
r,l,t
-14.474531,1,1.158005
-22.104299,1,1.158844
-19.433523,1,1.159578
-19.246323,1,1.160379
-16.69805,1,1.161242
-7.529207,1,1.162015
-24.60887,1,1.162725
-21.596327,1,1.163427
-16.554963,1,1.164131
-6.540293,1,1.164886
-13.327263,1,1.16563
-21.478989,1,1.166345
-20.504848,1,1.16705
-15.204017,1,1.167765
-18.223577,1,1.168472
-30.151858,1,1.169196
-12.451648,1,1.169932
-5.299632,1,1.170709
-28.492987,1,1.171415
-24.636971,1,1.172118
-22.95268,1,1.172829
-17.186401,1,1.173535
-23.137373,1,1.174344
-18.098254,1,1.175046
-22.490654,1,1.175762
-10.306314,1,1.176801
-23.222365,1,1.177512
-7.482343,1,1.17824
-24.985221,1,1.178945
-15.298221,1,1.179673
-32.200796,1,1.180379
-14.411664,1,1.181085
-16.126537,1,1.181792
-22.167074,1,1.182492
-31.578264,1,1.1832
-15.69625,1,1.183969
-32.7354,1,1.184675
-17.650161,1,1.185377
-20.400802,1,1.186083
-5.490524,1,1.186798
-24.100964,1,1.187503
-25.025856,1,1.188208
-19.858746,1,1.188918
-14.576641,1,1.189672
-11.190427,1,1.190401
-32.646786,1,1.191452
-18.373944,1,1.192162
-8.811283,1,1.192877
-22.732184,1,1.193594
-18.429484,1,1.194304
-24.259518,1,1.195006
-7.33953,1,1.195762
-15.276526,1,1.196486
-27.700208,1,1.197195
-31.276488,1,1.197902
100.0,1,1.198627
-26.515803,1,1.199348
-30.516798,1,1.200062
-29.787466,1,1.201025
-2.424654,1,1.201784
-13.526762,1,1.20282
-2.931209,1,1.203577
-7.594052,1,1.204346
-12.389102,1,1.205133
-13.459099,1,1.205933
-6.439165,1,1.206704
-18.690826,1,1.207414
-15.085859,1,1.208124
-14.416969,1,1.208838
-28.67149,1,1.20955
-25.000518,1,1.210255
-29.21272,1,1.2113
100.0,1,1.212123
-9.238527,1,1.212838
-32.619679,1,1.213805
-21.913706,1,1.21453
-8.257003,1,1.215389
-24.450271,1,1.216137
-19.57017,1,1.216876
-13.665122,1,1.217636
-24.621071,1,1.218348
-28.84169,1,1.219053
-7.206608,1,1.219762
-21.752996,1,1.220474
-13.535352,1,1.22119
-10.06606,1,1.221941
-32.639567,1,1.222652
-23.973285,1,1.223353
-34.718383,1,1.22407
-21.794192,1,1.224786
-11.183322,1,1.225487
100.0,1,1.226219
-6.678123,1,1.227052
100.0,1,1.227779
-8.737308,1,1.22854
-22.655554,1,1.229243
-28.094401,1,1.229949
100.0,1,1.230657
-20.330932,1,1.231358
-33.144885,1,1.232064
